#A. Arinyo-i-Prats, V1, catalogue Metal Stength  mesure of the metal strength (corrected by the DLA's column and not) belonging to the Damped Lyman-alpha systems  SDSS catalog (done by P. Notredame DR12_V1)
# ========================================================================================   
# Col1:  A15 (I5-I04-I04)  MJD, plate and fiber number of highest SNR spectrum (if combined)
# Col2:  F9.5              Right ascension in degrees
# Col3:  F+8.4             Declination in degrees 
# Col4:  F6.4		   Quasar redshift
# Col5:  F5.1              Continuum to noise ratio in [Lyb-Lya] region
# col6:  I6		   Visual Flag for the DLAs
# Col7:  I6                Balnicity Index (km/s)      --> Isabelle
# Col8:  F6.4              Absorption redshift of the DLA candidate
# Col9:  F5.2              Log10 of HI column density (cm^-2)
# Col10-11: 		   Metal strenght and its error, corrected by the column density HI, in adimensional units
# Col12-13: 		   Metal strenght and its error, uncorrected , in adimensional units
#=======================================================================================================
##MJD-Plate-Fiver RA       Dec 	    zqso CNR  flDLA BI  z_abs   NHI 	MS(HI)   errMS(HI) MS	  errMS  
#-------------------------------------------------------------------------------------------------------
56604-7167-0290 0.02128   -10.8139  2.711 1.9   1  0    2.4865  21.1    0.6142   0.201   0.8894   0.291   
56265-6151-0936 0.04045   +12.6252  2.481 5     0  0    2.3743  20.02   0.8148   0.142   0.6088   0.108   
56190-6182-0338 0.04538   +9.7097   2.772 7.6   1  0    2.3446  21.18   2.0299   0.214   3.3966   0.347   
55477-4216-0718 0.06321   +0.8092   3.027 9.8   0  0    2.1274  20.06   1.2030   0.436   0.8755   0.225   
55477-4216-0718 0.06321   +0.8092   3.027 9.8   0  0    2.524   20.85   2.7396   0.195   3.6093   0.256   
56540-6511-0114 0.07352   +27.6466  2.524 2.5   1  0    2.5138  20.39   1.2216   0.326   1.1441   0.296   
56268-6177-0360 0.07515   +14.0532  2.627 3.7   0  0    2.2873  20.79   1.3928   0.276   1.8211   0.352   
56269-6172-0643 0.08025   +16.1681  2.618 3.2   1  0    2.5613  20.56   -0.3134  0.118   -0.3220  0.121   
55477-4216-0290 0.08520   -0.8446   2.731 2.2   1  0    2.4236  20.05   1.4862   0.366   0.9490   0.239   
56543-6513-0892 0.10346   +24.9509  3.205 6.3   1  0    2.4744  20.51   0.5282   0.312   0.5403   0.303   
56574-7147-0900 0.13041   -7.0533   2.609 15.7  1  0    2.1948  20.32   1.1135   0.159   0.8830   0.127   
56268-6177-0656 0.13632   +14.6161  2.654 1.9   0  0    2.2284  20.61   -0.7139  1.03    -0.6182  1.11    
55831-4415-0562 0.14158   +5.9649   3.322 5.1   0  0    2.2695  20.18   0.6854   1.64    0.4550   0.862   
56543-6513-0142 0.14253   +24.1106  3.509 20.7  1  0    2.445   20.15   1.5867   0.218   1.0662   0.134   
56543-6513-0142 0.14253   +24.1106  3.509 20.7  1  0    3.4584  20.42   0.9610   0.0639  0.9212   0.0603  
